
03/26/20 21:26:27|FF16_2150_Middle2_EH.txt|list index out of range||list index out of range||||||list index out of range||||
03/26/20 22:08:14|FF16_2150_Middle2_EH.txt|23.61|30.91|0|92|1|0|276|perf-batt-PIR-reed-light|23.75|100556|b0 62 24 4f |14 01 5c 01 |47 09 00 cc 88 01 
03/26/20 22:09:29|FF16_2150_Middle2_EH.txt|23.63|30.91|0|92|1|0|274|perf-batt-PIR-reed-light|23.77|100556|b8 62 24 4f |12 01 5c 01 |49 09 00 cc 88 01 
03/26/20 22:10:46|FF16_2150_Middle2_EH.txt|23.65|30.91|0|92|1|0|273|perf-batt-PIR-reed-light|23.77|100554|c0 62 24 4f |11 01 5c 01 |49 09 00 ca 88 01 
03/26/20 22:13:04|FF16_2150_Middle2_EH.txt|23.61|31.01|0|92|0|0|5|perf-batt-PIR-reed-light|23.74|100552|b0 62 60 4f |05 00 5c 00 |46 09 00 c8 88 01 
03/26/20 22:23:20|FF16_2150_Middle2_EH.txt|23.55|31.2|0|91|0|0|5|perf-batt-PIR-reed-light|23.69|100557|98 62 e0 4f |05 00 5b 00 |41 09 00 cd 88 01 
03/26/20 22:33:48|FF16_2150_Middle2_EH.txt|list index out of range||0|91|0|0|5|perf-batt-PIR-reed-light|23.65|100568||05 00 5b 00 |3d 09 00 d8 88 01 
03/26/20 22:44:13|FF16_2150_Middle2_EH.txt|-40.0|0.0|0|91|0|0|5|perf-batt-PIR-reed-light|23.59|100567|00 00 00 00 |05 00 5b 00 |37 09 00 d7 88 01 
03/26/20 22:54:37|FF16_2150_Middle2_EH.txt|-40.0|0.0|0|91|0|0|5|perf-batt-PIR-reed-light|23.52|100550|00 00 00 00 |05 00 5b 00 |30 09 00 c6 88 01 
03/26/20 23:05:01|FF16_2150_Middle2_EH.txt|-40.0|0.0|0|91|0|0|5|perf-batt-PIR-reed-light|23.43|100555|00 00 00 00 |05 00 5b 00 |27 09 00 cb 88 01 
03/26/20 23:15:16|FF16_2150_Middle2_EH.txt|23.28|31.68|0|91|0|0|5|perf-batt-PIR-reed-light|23.43|100566|30 62 1c 51 |05 00 5b 00 |27 09 00 d6 88 01 
03/26/20 23:25:35|FF16_2150_Middle2_EH.txt|23.27|31.78|0|91|0|0|5|perf-batt-PIR-reed-light|23.4|100539|2c 62 5c 51 |05 00 5b 00 |24 09 00 bb 88 01 
03/26/20 23:35:53|FF16_2150_Middle2_EH.txt|23.22|31.86|0|91|0|0|5|perf-batt-PIR-reed-light|23.37|100550|18 62 90 51 |05 00 5b 00 |21 09 00 c6 88 01 
03/26/20 23:46:10|FF16_2150_Middle2_EH.txt|-40.0|0.0|0|91|0|0|5|perf-batt-PIR-reed-light|23.34|100530|00 00 00 00 |05 00 5b 00 |1e 09 00 b2 88 01 
03/26/20 23:56:26|FF16_2150_Middle2_EH.txt|23.16|32.15|0|90|0|0|5|perf-batt-PIR-reed-light|23.3|100546|00 62 50 52 |05 00 5a 00 |1a 09 00 c2 88 01 
03/27/20 00:06:51|FF16_2150_Middle2_EH.txt|list index out of range||0|90|0|0|5|perf-batt-PIR-reed-light|23.29|100529||05 00 5a 00 |19 09 00 b1 88 01 
03/27/20 00:17:09|FF16_2150_Middle2_EH.txt|23.13|32.24|0|90|0|0|5|perf-batt-PIR-reed-light|23.29|100525|f4 61 8c 52 |05 00 5a 00 |19 09 00 ad 88 01 
03/27/20 00:27:27|FF16_2150_Middle2_EH.txt|23.1|32.34|0|90|0|0|5|perf-batt-PIR-reed-light|23.25|100518|e8 61 cc 52 |05 00 5a 00 |15 09 00 a6 88 01 
03/27/20 00:37:51|FF16_2150_Middle2_EH.txt|-40.0|0.0|0|90|0|0|5|perf-batt-PIR-reed-light|23.22|100518|00 00 00 00 |05 00 5a 00 |12 09 00 a6 88 01 
03/27/20 00:48:08|FF16_2150_Middle2_EH.txt|23.04|32.73|0|90|0|0|5|perf-batt-PIR-reed-light|23.16|100524|d0 61 cc 53 |05 00 5a 00 |0c 09 00 ac 88 01 
03/27/20 00:58:35|FF16_2150_Middle2_EH.txt|-40.0|0.0|0|90|0|0|5|perf-batt-PIR-reed-light|23.15|100516|00 00 00 00 |05 00 5a 00 |0b 09 00 a4 88 01 
03/27/20 01:08:52|FF16_2150_Middle2_EH.txt|23.0|32.82|0|90|0|0|5|perf-batt-PIR-reed-light|23.14|100500|c0 61 08 54 |05 00 5a 00 |0a 09 00 94 88 01 
03/27/20 01:19:24|FF16_2150_Middle2_EH.txt|list index out of range||list index out of range||||||list index out of range||||
03/27/20 01:19:36|FF16_2150_Middle2_EH.txt|22.98|32.92|list index out of range||||||23.13|100474|b8 61 48 54 ||09 09 00 7a 88 01 
03/27/20 01:19:54|FF16_2150_Middle2_EH.txt|22.98|32.92|0|90|0|0|5|perf-batt-PIR-reed-light|23.12|100481|b8 61 48 54 |05 00 5a 00 |08 09 00 81 88 01 
03/27/20 01:50:10|FF16_2150_Middle2_EH.txt|22.94|33.22|0|89|0|0|5|perf-batt-PIR-reed-light|23.07|100506|a8 61 08 55 |05 00 59 00 |03 09 00 9a 88 01 
03/27/20 02:00:27|FF16_2150_Middle2_EH.txt|22.94|33.22|0|89|0|0|5|perf-batt-PIR-reed-light|23.09|100502|a8 61 08 55 |05 00 59 00 |05 09 00 96 88 01 
03/27/20 02:10:48|FF16_2150_Middle2_EH.txt|22.94|33.31|0|89|0|0|5|perf-batt-PIR-reed-light|23.09|100509|a8 61 48 55 |05 00 59 00 |05 09 00 9d 88 01 
03/27/20 02:21:07|FF16_2150_Middle2_EH.txt|22.91|33.4|0|89|0|0|5|perf-batt-PIR-reed-light|23.05|100488|9c 61 84 55 |05 00 59 00 |01 09 00 88 88 01 
03/27/20 02:31:24|FF16_2150_Middle2_EH.txt|22.88|33.48|0|89|0|0|5|perf-batt-PIR-reed-light|23.02|100478|90 61 b8 55 |05 00 59 00 |fe 08 00 7e 88 01 
03/27/20 02:41:38|FF16_2150_Middle2_EH.txt|22.85|33.58|0|89|0|0|5|perf-batt-PIR-reed-light|22.99|100489|84 61 f8 55 |05 00 59 00 |fb 08 00 89 88 01 
03/27/20 02:51:56|FF16_2150_Middle2_EH.txt|22.86|33.58|0|89|0|0|5|perf-batt-PIR-reed-light|23.0|100473|88 61 f8 55 |05 00 59 00 |fc 08 00 79 88 01 
03/27/20 03:02:19|FF16_2150_Middle2_EH.txt|list index out of range||0|88|0|0|5|perf-batt-PIR-reed-light|23.0|100457||05 00 58 00 |fc 08 00 69 88 01 
03/27/20 03:12:40|FF16_2150_Middle2_EH.txt|22.83|33.68|0|88|0|0|5|perf-batt-PIR-reed-light|22.99|100459|7c 61 38 56 |05 00 58 00 |fb 08 00 6b 88 01 
03/27/20 03:22:56|FF16_2150_Middle2_EH.txt|22.8|33.78|0|88|0|0|5|perf-batt-PIR-reed-light|22.94|100441|70 61 78 56 |05 00 58 00 |f6 08 00 59 88 01 
03/27/20 03:33:16|FF16_2150_Middle2_EH.txt|22.77|33.87|0|88|0|0|5|perf-batt-PIR-reed-light|22.93|100436|64 61 b8 56 |05 00 58 00 |f5 08 00 54 88 01 
